Radius\Confidence,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
650,53607,53607,53208,39665,32473,28019,25088,23099,21738,20668,19928,19335,18887,18548,18259,18105,17917,17921,18176,18945
665,53406,53406,53009,39437,32237,27779,24853,22869,21510,20442,19708,19118,18683,18357,18073,17923,17736,17750,18013,18800
680,53238,53238,52841,39254,32052,27591,24663,22676,21324,20257,19527,18936,18505,18184,17910,17762,17578,17608,17887,18683
695,53035,53035,52641,39050,31846,27377,24453,22461,21112,20054,19322,18735,18307,17991,17723,17581,17410,17436,17731,18545
710,52861,52861,52466,38858,31636,27165,24240,22245,20908,19843,19115,18530,18101,17791,17525,17384,17223,17266,17579,18411
725,52695,52695,52296,38680,31462,26987,24064,22072,20735,19667,18937,18353,17926,17622,17364,17236,17086,17143,17467,18311
740,52510,52510,52112,38491,31287,26817,23890,21899,20559,19500,18771,18189,17764,17459,17208,17086,16946,17008,17338,18192
755,52340,52340,51942,38317,31118,26647,23721,21724,20382,19331,18601,18022,17596,17298,17050,16933,16803,16867,17207,18073
770,52166,52166,51768,38146,30949,26474,23547,21549,20209,19167,18438,17862,17439,17144,16897,16787,16667,16740,17092,17966
785,52029,52029,51630,37991,30797,26325,23395,21393,20056,19013,18285,17709,17288,16995,16751,16647,16532,16613,16974,17864
800,51889,51889,51489,37834,30638,26163,23244,21246,19918,18880,18153,17576,17157,16866,16627,16530,16419,16500,16866,17768
815,51757,51757,51357,37683,30491,26012,23095,21095,19765,18729,18009,17436,17022,16734,16499,16408,16298,16390,16757,17673
830,51645,51645,51245,37568,30375,25901,22980,20980,19652,18615,17895,17322,16911,16623,16390,16297,16188,16284,16660,17585
845,51542,51542,51142,37465,30258,25784,22863,20873,19545,18505,17784,17213,16802,16514,16286,16192,16090,16191,16574,17504
860,51432,51432,51030,37348,30140,25668,22747,20760,19436,18393,17670,17100,16695,16408,16181,16090,15991,16094,16486,17424
875,51348,51348,50945,37254,30050,25572,22655,20668,19341,18298,17577,17006,16606,16319,16092,16004,15911,16019,16419,17365
890,51259,51259,50854,37166,29949,25478,22562,20579,19251,18211,17494,16924,16529,16242,16014,15930,15840,15948,16351,17306
905,51170,51170,50765,37082,29862,25398,22481,20501,19174,18136,17423,16853,16457,16168,15940,15858,15768,15878,16280,17241
920,51094,51094,50688,37002,29775,25314,22397,20418,19092,18057,17345,16779,16380,16094,15864,15783,15698,15814,16223,17194
935,51015,51015,50609,36912,29683,25221,22304,20328,19008,17977,17269,16707,16310,16022,15794,15718,15634,15751,16162,17141
950,50955,50955,50548,36854,29620,25157,22239,20257,18939,17911,17203,16643,16249,15962,15732,15661,15583,15705,16119,17105
965,50903,50903,50496,36792,29560,25099,22179,20198,18878,17850,17140,16583,16190,15908,15679,15609,15532,15659,16079,17071
980,50835,50835,50427,36720,29494,25033,22115,20133,18813,17779,17076,16520,16126,15843,15616,15549,15476,15607,16034,17031
995,50781,50781,50373,36663,29437,24979,22068,20088,18765,17735,17034,16478,16090,15809,15579,15512,15441,15576,16006,17012
1010,50738,50738,50330,36614,29395,24938,22022,20039,18716,17688,16987,16430,16042,15763,15534,15467,15400,15541,15971,16979
1025,50692,50692,50284,36567,29347,24893,21978,19994,18670,17642,16941,16383,15999,15718,15487,15425,15363,15505,15937,16949
1040,50656,50656,50246,36524,29302,24842,21933,19951,18626,17603,16903,16345,15960,15678,15448,15389,15327,15468,15905,16924
1055,50617,50617,50207,36479,29259,24804,21896,19917,18593,17570,16872,16317,15933,15650,15419,15361,15299,15446,15885,16908
1070,50587,50587,50177,36446,29233,24775,21864,19891,18563,17541,16843,16288,15905,15622,15393,15335,15275,15423,15862,16888
1085,50562,50562,50152,36417,29197,24738,21828,19859,18534,17512,16814,16261,15878,15599,15371,15312,15253,15402,15843,16869
1100,50536,50536,50125,36387,29165,24710,21801,19836,18511,17488,16788,16233,15849,15570,15344,15284,15224,15374,15818,16848
1115,50508,50508,50097,36352,29135,24676,21765,19800,18474,17449,16750,16199,15815,15536,15312,15252,15191,15343,15787,16820
1130,50476,50476,50065,36315,29096,24640,21735,19771,18446,17424,16724,16172,15787,15508,15284,15224,15165,15318,15763,16796
1145,50452,50452,50043,36288,29067,24611,21705,19743,18420,17402,16702,16151,15768,15493,15269,15209,15150,15305,15749,16786
1160,50427,50427,50019,36257,29040,24583,21679,19720,18397,17381,16683,16132,15749,15474,15249,15191,15132,15288,15733,16775
1175,50405,50405,49997,36237,29017,24561,21658,19699,18373,17359,16661,16112,15729,15454,15231,15175,15116,15273,15721,16764
1190,50388,50388,49980,36224,29002,24545,21645,19684,18359,17340,16641,16095,15713,15438,15217,15163,15104,15261,15711,16756
1205,50366,50366,49957,36201,28978,24522,21620,19660,18334,17316,16620,16073,15693,15422,15201,15147,15088,15244,15697,16746
1220,50338,50338,49929,36174,28951,24496,21598,19636,18313,17293,16598,16053,15672,15402,15183,15130,15073,15229,15687,16737
1235,50322,50322,49912,36157,28935,24481,21585,19622,18302,17281,16586,16040,15660,15390,15171,15119,15063,15218,15680,16729
1250,50306,50306,49896,36143,28918,24464,21568,19605,18286,17265,16571,16025,15645,15376,15158,15104,15050,15205,15666,16717
1265,50289,50289,49879,36120,28893,24442,21546,19588,18269,17248,16554,16010,15630,15362,15144,15091,15038,15193,15657,16709
1280,50276,50276,49866,36108,28880,24428,21533,19574,18256,17236,16542,15998,15619,15352,15134,15081,15029,15185,15650,16703
