cluster_size,average,complete,ward,single
3.0,0.2130775898694992,0.16665126383304596,0.20846408605575562,-0.07059530168771744
5.0,0.3092433512210846,0.26210054755210876,0.2878340780735016,-0.15271982550621033
7.0,0.38315632939338684,0.3143092393875122,0.37490418553352356,-0.18822415173053741
8.0,0.4246998131275177,0.3099531829357147,0.4163496196269989,-0.20889407396316528
9.0,0.44364774227142334,0.2895801365375519,0.4292845129966736,-0.21700280904769897
10.0,0.4286554157733917,0.34153255820274353,0.43176597356796265,-0.22548037767410278
11.0,0.4149775505065918,0.3828844726085663,0.4274980425834656,-0.23132023215293884
12.0,0.40268194675445557,0.386778324842453,0.4182960093021393,-0.2377774864435196
15.0,0.3955773413181305,0.35380709171295166,0.3900303542613983,-0.25463831424713135
17.0,0.378510057926178,0.3373927175998688,0.35840368270874023,-0.2607135474681854
20.0,0.3660926818847656,0.32731086015701294,0.3510669767856598,-0.27101707458496094
21.0,0.36090925335884094,0.31952279806137085,0.34861695766448975,-0.2712511420249939
23.0,0.34933626651763916,0.30295902490615845,0.34109556674957275,-0.2771610617637634
24.0,0.3361307978630066,0.2847256362438202,0.3296191990375519,-0.27849501371383667
25.0,0.3301386833190918,0.27560675144195557,0.3263663649559021,-0.29081201553344727
26.0,0.3236140012741089,0.24651196599006653,0.321654349565506,-0.29196128249168396
27.0,0.3181476593017578,0.23955659568309784,0.29757750034332275,-0.29323306679725647
28.0,0.3133668303489685,0.21288485825061798,0.2943679094314575,-0.2957495450973511
29.0,0.3097245693206787,0.2133185863494873,0.2759263813495636,-0.2974907457828522
30.0,0.3081806004047394,0.21392260491847992,0.27501028776168823,-0.3071195185184479
