"Radius\Confidence	",0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975
530,55893,55893,55893,55893,55488,47499,41937,37834,34739,32220,30281,28688,27340,26267,25341,24602,23945,23379,22866,22428,22078,21746,21429,21158,20928,20766,20547,20339,20185,20071,19957,19822,19714,19644,19629,19690,19781,19998,20420,21368
555,55352,55352,55352,55352,54946,46953,41410,37301,34205,31686,29745,28158,26811,25738,24818,24083,23429,22859,22341,21908,21564,21241,20929,20671,20445,20291,20082,19879,19732,19616,19511,19376,19270,19214,19212,19277,19378,19598,20042,21022
580,54776,54776,54776,54776,54375,46397,40857,36767,33671,31153,29211,27617,26284,25220,24299,23572,22922,22357,21845,21409,21072,20757,20447,20198,19976,19826,19623,19429,19292,19187,19094,18964,18864,18816,18823,18900,19012,19245,19703,20726
605,54280,54280,54280,54280,53879,45900,40362,36274,33201,30686,28748,27149,25820,24755,23836,23116,22467,21900,21389,20958,20625,20315,20010,19764,19547,19395,19195,19012,18885,18787,18707,18590,18491,18451,18466,18555,18679,18926,19400,20445
630,53911,53911,53911,53911,53512,45517,39972,35876,32798,30283,28344,26736,25401,24334,23419,22699,22046,21479,20973,20540,20219,19918,19627,19383,19174,19020,18829,18656,18534,18443,18373,18264,18174,18144,18162,18261,18402,18659,19152,20214
655,53530,53530,53530,53530,53132,45132,39573,35473,32380,29867,27925,26328,24999,23928,23009,22296,21650,21081,20581,20155,19845,19544,19252,19012,18810,18661,18474,18302,18184,18098,18030,17924,17843,17822,17850,17961,18111,18374,18887,19970
680,53238,53238,53238,53238,52841,44829,39254,35153,32052,29530,27591,25992,24663,23592,22676,21968,21324,20749,20257,19837,19527,19225,18936,18708,18505,18362,18184,18021,17910,17823,17762,17658,17578,17572,17608,17726,17887,18160,18683,19782
705,52908,52908,52908,52908,52513,44487,38917,34800,31694,29170,27221,25623,24301,23230,22304,21597,20965,20399,19901,19481,19171,18874,18588,18361,18160,18027,17851,17694,17584,17499,17441,17343,17278,17274,17317,17446,17623,17906,18448,19573
730,52633,52633,52633,52633,52234,44197,38609,34501,31396,28872,26924,25326,23998,22934,22008,21307,20669,20105,19605,19189,18877,18579,18292,18062,17866,17735,17561,17411,17306,17226,17180,17095,17036,17045,17095,17237,17421,17704,18269,19406
755,52340,52340,52340,52340,51942,43906,38317,34213,31118,28596,26647,25057,23721,22654,21724,21024,20382,19824,19331,18913,18601,18306,18022,17797,17596,17470,17298,17150,17050,16974,16933,16858,16803,16814,16867,17013,17207,17498,18073,19229
780,52068,52068,52068,52068,51669,43629,38042,33932,30839,28317,26368,24783,23444,22375,21441,20743,20103,19545,19062,18643,18333,18037,17759,17536,17339,17212,17046,16901,16801,16727,16693,16624,16575,16593,16651,16807,17010,17307,17892,19066
805,51839,51839,51839,51839,51439,43380,37782,33673,30583,28055,26104,24523,23184,22118,21186,20496,19858,19305,18822,18405,18099,17804,17524,17300,17104,16975,16814,16671,16578,16515,16483,16418,16373,16397,16459,16621,16825,17132,17731,18925
830,51645,51645,51645,51645,51245,43179,37568,33460,30375,27849,25901,24319,22980,21912,20980,20286,19652,19100,18615,18199,17895,17601,17322,17103,16911,16782,16623,16480,16390,16324,16297,16234,16188,16212,16284,16451,16660,16977,17585,18794
855,51464,51464,51464,51464,51063,42997,37383,33272,30181,27651,25707,24126,22790,21725,20803,20109,19478,18925,18435,18016,17713,17420,17140,16924,16731,16601,16443,16303,16215,16151,16124,16068,16025,16052,16129,16304,16518,16839,17457,18681
880,51317,51317,51317,51317,50914,42840,37220,33104,30013,27484,25539,23961,22623,21555,20636,19936,19310,18765,18270,17852,17550,17257,16978,16769,16580,16451,16294,16152,16065,16004,15980,15928,15887,15916,15993,16175,16393,16722,17345,18585
905,51170,51170,51170,51170,50765,42703,37082,32960,29862,27334,25398,23816,22481,21419,20501,19801,19174,18630,18136,17720,17423,17130,16853,16646,16457,16327,16168,16025,15940,15880,15858,15807,15768,15797,15878,16060,16280,16612,17241,18493
930,51040,51040,51040,51040,50634,42563,36940,32812,29710,27182,25249,23666,22330,21271,20353,19659,19032,18490,17999,17588,17291,17003,16729,16520,16331,16205,16045,15900,15816,15760,15740,15695,15657,15687,15772,15954,16180,16520,17158,18421
955,50934,50934,50934,50934,50527,42458,36828,32701,29596,27068,25135,23554,22217,21158,20236,19541,18918,18379,17891,17482,17183,16895,16623,16416,16229,16103,15944,15798,15713,15661,15642,15599,15564,15601,15686,15872,16102,16446,17090,18357
980,50835,50835,50835,50835,50427,42355,36720,32594,29494,26964,25033,23453,22115,21055,20133,19437,18813,18269,17779,17373,17076,16791,16520,16314,16126,16001,15843,15699,15616,15566,15549,15509,15476,15516,15607,15799,16034,16383,17031,18302
1005,50750,50750,50750,50750,50342,42267,36629,32505,29409,26879,24950,23375,22036,20978,20056,19359,18731,18187,17700,17294,16998,16713,16441,16238,16053,15931,15774,15628,15545,15494,15478,15437,15410,15452,15549,15742,15979,16332,16987,18266
1030,50681,50681,50681,50681,50272,42196,36555,32429,29334,26804,24877,23302,21962,20903,19977,19281,18652,18113,17628,17224,16928,16644,16369,16169,15985,15861,15704,15557,15474,15426,15412,15375,15351,15397,15493,15689,15928,16286,16942,18224
1055,50617,50617,50617,50617,50207,42126,36479,32361,29259,26732,24804,23234,21896,20839,19917,19222,18593,18055,17570,17167,16872,16593,16317,16117,15933,15808,15650,15502,15419,15372,15361,15321,15299,15347,15446,15645,15885,16248,16908,18196
1080,50573,50573,50573,50573,50163,42077,36432,32310,29213,26686,24756,23181,21842,20788,19873,19175,18546,18010,17524,17121,16826,16546,16272,16073,15889,15765,15608,15461,15379,15331,15320,15281,15261,15311,15410,15609,15851,16216,16877,18169
1105,50524,50524,50524,50524,50113,42021,36371,32248,29151,26622,24695,23120,21786,20733,19820,19123,18496,17959,17472,17069,16773,16494,16222,16022,15836,15713,15555,15411,15330,15282,15270,15229,15209,15262,15360,15558,15804,16172,16835,18137
1130,50476,50476,50476,50476,50065,41968,36315,32192,29096,26568,24640,23069,21735,20685,19771,19071,18446,17908,17424,17021,16724,16445,16172,15973,15787,15665,15508,15364,15284,15234,15224,15183,15165,15219,15318,15517,15763,16132,16796,18104
1155,50438,50438,50438,50438,50029,41928,36270,32149,29050,26521,24594,23023,21688,20638,19728,19030,18405,17869,17387,16988,16689,16412,16139,15940,15756,15636,15481,15335,15254,15204,15195,15155,15136,15191,15291,15492,15736,16107,16777,18085
1180,50399,50399,50399,50399,49991,41890,36232,32116,29013,26484,24557,22987,21655,20604,19694,18994,18368,17831,17351,16951,16653,16376,16105,15906,15722,15601,15447,15306,15226,15177,15170,15131,15111,15167,15267,15472,15718,16089,16761,18070
1205,50366,50366,50366,50366,49957,41856,36201,32081,28978,26450,24522,22953,21620,20570,19660,18960,18334,17797,17316,16915,16620,16344,16073,15876,15693,15572,15422,15280,15201,15153,15147,15108,15088,15143,15244,15451,15697,16071,16746,18059
1230,50327,50327,50327,50327,49917,41816,36164,32045,28941,26415,24488,22922,21591,20539,19628,18931,18308,17770,17287,16886,16592,16316,16046,15849,15665,15546,15395,15255,15176,15128,15122,15084,15066,15120,15221,15431,15682,16057,16731,18045
1255,50299,50299,50299,50299,49889,41788,36134,32011,28906,26380,24455,22890,21560,20509,19599,18902,18280,17744,17259,16859,16565,16289,16019,15823,15640,15521,15371,15233,15154,15107,15099,15061,15045,15099,15201,15411,15663,16039,16714,18030
1280,50276,50276,50276,50276,49866,41765,36108,31985,28880,26351,24428,22864,21533,20483,19574,18879,18256,17722,17236,16833,16542,16268,15998,15803,15619,15500,15352,15214,15134,15088,15081,15043,15029,15081,15185,15396,15650,16028,16703,18021
1305,50261,50261,50261,50261,49852,41747,36090,31965,28865,26334,24410,22845,21514,20463,19556,18860,18236,17704,17219,16816,16523,16248,15979,15784,15601,15480,15332,15193,15115,15068,15061,15023,15009,15062,15169,15380,15633,16011,16686,18006
1330,50242,50242,50242,50242,49833,41727,36067,31943,28846,26312,24387,22824,21492,20441,19535,18840,18216,17686,17201,16796,16503,16227,15961,15764,15581,15461,15314,15176,15098,15051,15045,15007,14996,15051,15158,15369,15623,16003,16678,17999
1355,50232,50232,50232,50232,49824,41718,36058,31935,28836,26301,24376,22814,21483,20431,19524,18829,18205,17674,17189,16784,16491,16216,15951,15753,15571,15453,15307,15169,15091,15045,15039,15002,14991,15046,15153,15364,15618,15998,16672,17993
1380,50219,50219,50219,50219,49811,41706,36042,31920,28821,26287,24362,22799,21472,20423,19517,18825,18203,17673,17188,16783,16490,16215,15950,15752,15569,15451,15306,15168,15091,15045,15039,15002,14991,15046,15153,15363,15617,15997,16671,17992
1405,50203,50203,50203,50203,49794,41690,36026,31904,28803,26271,24345,22783,21460,20412,19506,18816,18194,17664,17179,16774,16481,16207,15941,15742,15559,15441,15296,15158,15080,15034,15028,14991,14980,15036,15145,15354,15609,15990,16664,17984
1430,50198,50198,50198,50198,49789,41679,36018,31897,28797,26265,24339,22777,21455,20406,19500,18810,18188,17658,17174,16768,16475,16202,15936,15737,15554,15436,15291,15153,15075,15029,15023,14986,14974,15030,15139,15349,15605,15985,16660,17981
1455,50187,50187,50187,50187,49778,41664,35999,31879,28780,26251,24327,22768,21444,20398,19493,18806,18186,17657,17173,16767,16475,16202,15936,15736,15553,15435,15290,15152,15074,15028,15022,14985,14972,15027,15138,15348,15604,15984,16659,17981
1480,50183,50183,50183,50183,49774,41661,35995,31876,28778,26247,24322,22763,21441,20396,19491,18804,18183,17654,17170,16764,16472,16200,15934,15734,15550,15432,15287,15148,15070,15024,15019,14982,14969,15024,15136,15346,15602,15982,16658,17980
1505,50181,50181,50181,50181,49772,41658,35991,31872,28774,26244,24318,22761,21439,20393,19489,18802,18181,17652,17168,16762,16470,16198,15932,15732,15548,15430,15285,15147,15069,15023,15018,14981,14968,15023,15135,15345,15601,15981,16657,17979
1530,50179,50179,50179,50179,49770,41655,35988,31869,28770,26241,24315,22760,21438,20393,19489,18802,18181,17652,17168,16762,16470,16198,15931,15731,15547,15429,15284,15147,15069,15023,15018,14981,14968,15023,15135,15345,15601,15981,16657,17979
1555,50177,50177,50177,50177,49768,41654,35987,31868,28769,26240,24314,22758,21437,20391,19488,18801,18180,17652,17168,16762,16470,16198,15931,15731,15547,15429,15284,15146,15068,15022,15017,14980,14967,15022,15135,15344,15601,15981,16657,17979
