cluster_size,average,complete,ward,single,coeff_avg
3.0,0.27941346168518066,0.23177959024906158,0.27262774109840393,-0.08988475054502487,0.17348399758338928
5.0,0.39189478754997253,0.3487825095653534,0.390174925327301,-0.1692785918712616,0.24039340019226074
7.0,0.5098434686660767,0.48604243993759155,0.4970543086528778,-0.19350500404834747,0.32485878467559814
8.0,0.5748949646949768,0.5455333590507507,0.5616533160209656,-0.20726725459098816,0.36870360374450684
9.0,0.6121701598167419,0.5113447308540344,0.5932151079177856,-0.22172752022743225,0.37375062704086304
10.0,0.590771496295929,0.5756415128707886,0.5658130049705505,-0.24356257915496826,0.37216588854789734
11.0,0.57976895570755,0.5510609149932861,0.5359485745429993,-0.24968606233596802,0.35427308082580566
12.0,0.570725679397583,0.5413835048675537,0.5381627082824707,-0.2557171881198883,0.3486386835575104
15.0,0.5502569079399109,0.47999536991119385,0.508327841758728,-0.2842426598072052,0.3135843575000763
17.0,0.5362996459007263,0.46288129687309265,0.45565682649612427,-0.30715519189834595,0.2869206666946411
20.0,0.5234323740005493,0.4339940547943115,0.4379168450832367,-0.32610824704170227,0.26730877161026
21.0,0.5152130722999573,0.43887877464294434,0.4125318229198456,-0.34253305196762085,0.2560226321220398
23.0,0.5075169801712036,0.43125179409980774,0.38022172451019287,-0.35098206996917725,0.24200209975242615
24.0,0.49970752000808716,0.42311781644821167,0.35912254452705383,-0.3513021469116211,0.2326614260673523
25.0,0.4949183464050293,0.4228875935077667,0.3602246940135956,-0.3533555567264557,0.23116877675056458
26.0,0.48971855640411377,0.42410069704055786,0.33950546383857727,-0.26659002900123596,0.24668368697166443
27.0,0.4872485399246216,0.40617266297340393,0.337270051240921,-0.269338995218277,0.2403380572795868
28.0,0.47803378105163574,0.40509626269340515,0.3386431038379669,-0.27218687534332275,0.23739656805992126
29.0,0.477171927690506,0.4047425389289856,0.33648574352264404,-0.27957430481910706,0.23470649123191833
30.0,0.4761076271533966,0.40533313155174255,0.33267104625701904,-0.28286802768707275,0.23281094431877136
