Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
58000,0.16101374,0.21745153,0.13086914,0.017079208,0.297361,0.1621369,0.37091994,0.4632699,0.47842354,0.556609,0.42634776,0.016550926,0.08832875,0.047115218,0.032748602,0.35391328,0.52210575,0.52210575
60000,0.104562484,0.13019606,0.09080489,0.023762377,0.19395334,0.10703921,0.26716608,0.40966105,0.43844283,0.44343588,0.37127686,0.023060344,0.1460081,0.046411753,0.026038961,0.3608641,0.5793232,0.5793232
62000,0.15432528,0.20961668,0.08768745,0.060066007,0.28092214,0.15736029,0.32865563,0.4361454,0.45768082,0.55742884,0.25283778,0.05906433,0.11033124,0.053692695,0.027238159,0.3481156,0.5393778,0.5393778
64000,0.11806074,0.17885423,0.19271494,0.002310231,0.21755897,0.11925522,0.316601,0.45271164,0.46295008,0.5762433,0.4297316,0.0020833334,0.11720381,0.04856127,0.03884992,0.3593615,0.56397647,0.56397647
68000,0.1466882,0.17468837,0.1344711,0.014411441,0.27159414,0.14236616,0.3609207,0.44633138,0.45131373,0.47229403,0.36412022,0.017777778,0.08431241,0.04138707,0.029551623,0.3593291,0.5145802,0.5145802
70000,0.1257525,0.16625537,0.10084998,0.048844885,0.24925207,0.12035408,0.30813587,0.41022298,0.42582154,0.54479426,0.29103747,0.0489011,0.11701093,0.053707194,0.039210074,0.35647982,0.56640756,0.56640756
72000,0.16386263,0.19970632,0.19061121,0.04059406,0.30174997,0.1682889,0.34898353,0.462856,0.47180286,0.54524285,0.3737984,0.039772727,0.1046991,0.044944014,0.024868736,0.35256925,0.5270815,0.5270815
74000,0.15718642,0.22261636,0.09704412,0.014521453,0.28451973,0.17181833,0.3734233,0.49666506,0.5059281,0.51873064,0.3808031,0.01399287,0.1122941,0.0378427,0.033902384,0.35796297,0.5420024,0.5420024
76000,0.14708716,0.22963412,0.08571661,0.044554457,0.29237992,0.13405925,0.32229447,0.41175234,0.42839873,0.56856406,0.25857267,0.043333333,0.11967496,0.0457429,0.023453731,0.35562214,0.54449373,0.54449373
78000,0.15947004,0.22546631,0.11894146,0.03069307,0.29391342,0.15055513,0.35500526,0.45683515,0.46625212,0.5731221,0.3227382,0.02952381,0.10933524,0.049453925,0.020728897,0.3505096,0.5300275,0.5300275
