cluster_size,average,complete,ward,single,coeff_avg
3.0,0.1954035460948944,0.03608192130923271,0.23359541594982147,-0.09533408284187317,0.09243670105934143
5.0,0.05176495388150215,0.020849071443080902,0.28907421231269836,-0.163018599152565,0.04966741427779198
7.0,0.06508470326662064,0.0159018374979496,0.37928307056427,-0.19036361575126648,0.06747650355100632
8.0,0.122294582426548,0.0102760661393404,0.41821593046188354,-0.19500277936458588,0.08894595503807068
9.0,0.17736920714378357,0.01589186303317547,0.4215611219406128,-0.20054177939891815,0.10357010364532471
10.0,0.15851633250713348,0.0039498028345406055,0.42738187313079834,-0.21906358003616333,0.09269611537456512
11.0,0.14984425902366638,0.0013307483168318868,0.426069438457489,-0.23727582395076752,0.08499215543270111
12.0,0.2107294201850891,0.0008633604156784713,0.4107246696949005,-0.2785625159740448,0.08593872934579849
15.0,0.18903857469558716,-0.00123544258531183,0.37492457032203674,-0.29186129570007324,0.06771659851074219
17.0,0.18075032532215118,-0.026071898639202118,0.35191914439201355,-0.3011684715747833,0.05135727673768997
20.0,0.19393235445022583,-0.033792827278375626,0.31661200523376465,-0.32613104581832886,0.037655122578144073
21.0,0.19182772934436798,-0.02695886790752411,0.3057916760444641,-0.33125028014183044,0.034852564334869385
23.0,0.17133380472660065,-0.045094456523656845,0.27834197878837585,-0.3485579192638397,0.01400584727525711
24.0,0.16432423889636993,-0.04436851292848587,0.2722136378288269,-0.34967905282974243,0.010622575879096985
25.0,0.19388651847839355,-0.04070555791258812,0.26708492636680603,-0.36050719022750854,0.014939673244953156
26.0,0.1929173320531845,-0.04575955495238304,0.2656068503856659,-0.3605844974517822,0.01304502785205841
27.0,0.1800512671470642,-0.03689968213438988,0.26119256019592285,-0.36119067668914795,0.010788366198539734
28.0,0.1769075244665146,-0.03764575347304344,0.26186537742614746,-0.36349016427993774,0.00940924882888794
29.0,0.16631348431110382,-0.040924012660980225,0.25083038210868835,-0.3650531470775604,0.00279168039560318
30.0,0.16443482041358948,-0.042905282229185104,0.24855612218379974,-0.36505740880966187,0.0012570619583129883
