cluster_size,average,complete,ward,single
3.0,0.2336437702178955,0.20209342241287231,0.2322506606578827,-0.060142356902360916
5.0,0.3128792941570282,0.22440382838249207,0.3112054765224457,-0.0892072543501854
7.0,0.3896177113056183,0.2626930773258209,0.3569599390029907,-0.15763291716575623
8.0,0.4280288517475128,0.3004058003425598,0.39506784081459045,-0.17323744297027588
9.0,0.4075741171836853,0.36445242166519165,0.40632373094558716,-0.1921360045671463
10.0,0.3929809629917145,0.3799324631690979,0.41854891180992126,-0.2434237003326416
11.0,0.37146249413490295,0.418427050113678,0.41687020659446716,-0.25405019521713257
12.0,0.39115703105926514,0.4033483564853668,0.40563392639160156,-0.265846312046051
15.0,0.39456596970558167,0.3447140157222748,0.37771499156951904,-0.1992465704679489
17.0,0.36983296275138855,0.3316415548324585,0.34966185688972473,-0.20988765358924866
20.0,0.353687584400177,0.31199967861175537,0.3288794159889221,-0.2185845524072647
21.0,0.3456907868385315,0.2856696844100952,0.328519731760025,-0.226554736495018
23.0,0.3380189836025238,0.2803695499897003,0.3195285201072693,-0.23263034224510193
24.0,0.3330943286418915,0.2736140489578247,0.313175231218338,-0.23790864646434784
25.0,0.32258301973342896,0.2702299654483795,0.3137723207473755,-0.24483764171600342
26.0,0.3207489848136902,0.26800620555877686,0.2952304482460022,-0.245477557182312
27.0,0.31999969482421875,0.26445984840393066,0.2901454269886017,-0.24705751240253448
28.0,0.31711211800575256,0.2564047574996948,0.28257542848587036,-0.25164276361465454
29.0,0.3065205514431,0.25723615288734436,0.27331387996673584,-0.2524091899394989
30.0,0.3056313991546631,0.2684723734855652,0.27431949973106384,-0.2525865137577057
